,App,Category,Rating,Reviews,Size,Installs,Type,Price,Content Rating,Genres,Last Updated,Current Ver,Android Ver
18,Call of Duty:Black Ops Zombies,GAME,4.2,13004.0,46000.0K,100000.0,Paid,6.99,Teen,Action,December 20 2016,1.0.11,2.3.3 and up
19,Star Wars ™: DIRTY,GAME,4.5,38207.0,15000.0K,100000.0,Paid,9.99,Teen,Role Playing,October 19 2015,1.0.6,4.1 and up
20,Monument Valley 2,GAME,4.6,9394.0,33000.0K,100000.0,Paid,4.99,Everyone,Puzzle,November 30 2017,1.2.9,4.4 and up
21,Toca Mystery House,FAMILY,4.2,96.0,79000.0K,5000.0,Paid,3.99,Everyone,Educational;Creativity,June 14 2018,1.0.1,4.4 and up
22,My Little Princess : Stores,FAMILY,4.3,169.0,60000.0K,5000.0,Paid,2.99,Everyone,Educational;Pretend Play,May 25 2018,1.08,4.1 and up
23,Sago Mini Big City,FAMILY,4.2,8.0,44000.0K,1000.0,Paid,3.99,Everyone,Education;Pretend Play,July 9 2018,1.1,4.4 and up
24,Pinkalicious Party,FAMILY,3.0,2.0,82000.0K,500.0,Paid,2.99,Everyone,Educational;Creativity,June 25 2018,1.5.0,4.1 and up
25,Toca Life: City,FAMILY,4.7,31100.0,24000.0K,500000.0,Paid,3.99,Everyone,Education;Pretend Play,July 6 2018,1.5-play,4.4 and up
26,My Little Work – Garage,FAMILY,4.3,560.0,44000.0K,10000.0,Paid,3.99,Everyone,Casual;Education,June 17 2015,2.0.1,2.3 and up
27,Alizay pirate girl,FAMILY,4.5,197.0,11000.0K,1000.0,Paid,2.99,Everyone,Casual;Action & Adventure,March 23 2017,4.0.2,2.3 and up
28,Hactar Go,FAMILY,4.8,97.0,3500.0K,1000.0,Paid,2.99,Everyone,Board;Brain Games,March 30 2018,2.4.15,4.0 and up
29,All-in-One Mahjong 3,FAMILY,4.4,38.0,16000.0K,100.0,Paid,0.99,Everyone,Board;Brain Games,June 14 2018,20180609.0,4.0 and up
30,World Racers family board game,FAMILY,4.8,4.0,42000.0K,100.0,Paid,0.99,Everyone,Board;Pretend Play,September 3 2015,1.1,5.1 and up
31,SweetLand — Family Board Game,FAMILY,4.2,38.0,47000.0K,1000.0,Paid,0.99,Everyone,Casual;Pretend Play,November 14 2014,1.2,2.3.3 and up
32,Steam: Rails to Riches,FAMILY,4.2,214.0,67000.0K,5000.0,Paid,4.99,Everyone,Board;Brain Games,December 13 2017,3.3.1,4.1 and up
33,Whoowasit? - Best kids game!,FAMILY,4.0,248.0,26000.0K,5000.0,Paid,2.99,Everyone,Board;Action & Adventure,July 24 2018,1.6,4.1 and up
34,Lanterns: The Harvest Festival,FAMILY,4.7,185.0,72000.0K,1000.0,Paid,4.99,Everyone,Board;Brain Games,May 1 2018,1.16.5,4.1 and up
35,Tsuro - The Game of the Path,FAMILY,4.7,2195.0,37000.0K,10000.0,Paid,2.99,Everyone,Board;Brain Games,August 2 2016,1.3.3,2.3 and up
36,THE aMAZEing Labyrinth,FAMILY,3.9,1615.0,1200.0K,10000.0,Paid,4.99,Everyone,Board;Brain Games,February 9 2016,1.0.3,4.0 and up
37,Chess and Mate,FAMILY,4.5,359.0,17000.0K,5000.0,Paid,4.99,Everyone,Board;Brain Games,August 12 2015,2.0.5,2.3 and up
38,Avokiddo Emotions,FAMILY,4.6,73.0,12000.0K,1000.0,Paid,2.99,Everyone,Education;Pretend Play,May 21 2018,1.7.0,4.0.3 and up
39,Nighty Night Circus,FAMILY,4.3,382.0,15000.0K,10000.0,Paid,2.99,Everyone,Education;Action & Adventure,March 7 2017,2.6,2.3 and up
40,Sago Mini Babies,FAMILY,4.5,253.0,83000.0K,10000.0,Paid,3.99,Everyone,Education;Pretend Play,October 28 2016,1.1,4.0.3 and up
41,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396.0,9500.0K,50000.0,Paid,3.99,Everyone,Casual;Pretend Play,December 9 2014,1.8,4.0 and up
42,Avokiddo Emotions,FAMILY,4.6,73.0,12000.0K,1000.0,Paid,2.99,Everyone,Education;Pretend Play,May 21 2018,1.7.0,4.0.3 and up
43,Nighty Night Circus,FAMILY,4.3,382.0,15000.0K,10000.0,Paid,2.99,Everyone,Education;Action & Adventure,March 7 2017,2.6,2.3 and up
44,Sago Mini Babies,FAMILY,4.5,253.0,83000.0K,10000.0,Paid,3.99,Everyone,Education;Pretend Play,October 28 2016,1.1,4.0.3 and up
45,Dr. Panda & Toto's Treehouse,FAMILY,4.4,3396.0,9500.0K,50000.0,Paid,3.99,Everyone,Casual;Pretend Play,December 9 2014,1.8,4.0 and up
46,Card Wars - Adventure Time,FAMILY,4.3,129603.0,23000.0K,1000000.0,Paid,2.99,Everyone 10,Card;Action & Adventure,February 11 2016,1.11.0,2.3.3 and up
47,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135.0,12000.0K,100000.0,Paid,9.00,Everyone,Medical,July 16 2018,2.0.7,4.0 and up
48,iBP Blood Pressure,MEDICAL,4.4,578.0,704k,10000.0,Paid,0.99,Everyone,Medical,November 30 2014,7.0.1,2.2 and up
49,Pedi STAT,MEDICAL,4.6,129.0,2900.0K,10000.0,Paid,5.49,Everyone,Medical,April 6 2018,3.0.1.0,4.1 and up
50,ASCCP Mobile,MEDICAL,4.5,63.0,25000.0K,10000.0,Paid,9.99,Everyone,Medical,October 3 2016,2.1.1,2.2 and up
51,Paramedic Protocol Provider,MEDICAL,4.5,171.0,20000.0K,10000.0,Paid,10.00,Everyone 10,Medical,September 21 2017,1.8.3,4.1 and up
52,MommyMeds,MEDICAL,3.2,45.0,21000.0K,5000.0,Paid,3.99,Everyone,Medical,November 15 2017,2.0.1,6.0 and up
53,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717.0,5400.0K,5000.0,Paid,5.99,Everyone,Medical,May 31 2018,6.5.0,5.0 and up
54,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921.0,25000.0K,100000.0,Paid,24.99,Everyone,Medical,May 25 2018,2018.5.47,5.0 and up
55,Essential Anatomy 3,MEDICAL,4.1,1533.0,42000.0K,50000.0,Paid,11.99,Mature 17,Medical,August 7 2014,1.1.3,4.0.3 and up
56,Vargo Anesthesia Mega App,MEDICAL,4.6,92.0,32000.0K,1000.0,Paid,79.99,Everyone,Medical,June 18 2018,19.0,4.0.3 and up
57,EMT Review Plus,MEDICAL,4.5,199.0,1800.0K,10000.0,Paid,11.99,Everyone,Medical,June 27 2018,3.0.5,4.4W and up
58,Muscle Trigger Point Anatomy,MEDICAL,4.4,1361.0,33000.0K,50000.0,Paid,2.99,Everyone,Medical,July 17 2018,2.4.4,4.0.3 and up
59,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12.0,3800.0K,1000.0,Paid,16.99,Everyone,Medical,January 27 2017,1.0.5,4.0.3 and up
60,ASRA Coags,MEDICAL,4.4,15.0,5800.0K,1000.0,Paid,3.99,Everyone,Medical,August 1 2018,2.1,4.1 and up
61,IBM Micromedex Drug Info,MEDICAL,3.8,206.0,9500.0K,10000.0,Paid,2.99,Everyone,Medical,April 25 2018,1.17.0,4.0 and up
62,Diabetes & Diet Tracker,MEDICAL,4.6,395.0,19000.0K,1000.0,Paid,9.99,Everyone,Medical,July 16 2018,6.5.1,5.0 and up
63,Block Buddy,MEDICAL,4.0,15.0,5000.0K,1000.0,Paid,14.99,Everyone,Medical,August 1 2018,7.6.14,4.0 and up
64,EMT Study - NREMT Test Prep,MEDICAL,4.3,35.0,862k,5000.0,Paid,3.99,Everyone,Medical,December 3 2014,1.1,4.0.3 and up
65,Calcium Pro,MEDICAL,3.4,77.0,9900.0K,5000.0,Paid,2.99,Everyone,Medical,April 18 2017,1.6.2,4.0.3 and up
66,EMT PASS,MEDICAL,3.4,51.0,2400.0K,1000.0,Paid,29.99,Everyone,Medical,October 22 2014,2.0.2,4.0 and up
67,Pocket Lab Values,MEDICAL,4.3,214.0,899k,10000.0,Paid,2.99,Everyone,Medical,November 22 2012,2.5,2.1 and up
68,Medical terms (OFFLINE),MEDICAL,4.4,104.0,38000.0K,1000.0,Paid,2.99,Teen,Medical,May 24 2018,3.2.0,4.1 and up
69,Cardiac diagnosis (heart rate arrhythmia),MEDICAL,4.4,8.0,6500.0K,100.0,Paid,12.99,Everyone,Medical,July 25 2018,7.0,3.0 and up
70,ERres- Emergency Medicine,MEDICAL,4.2,45.0,14000.0K,1000.0,Paid,4.99,Everyone,Medical,August 18 2015,6.0,4.0 and up
71,AnatomyMapp,MEDICAL,4.1,80.0,48000.0K,5000.0,Paid,14.99,Everyone,Medical,November 5 2013,1.0,3.0 and up
72,OptoDrum,MEDICAL,3.9,10.0,378k,1000.0,Paid,5.99,Everyone,Medical,May 26 2015,1.0,3.0 and up
73,Migraine Headache Diary HeadApp Pro,MEDICAL,4.6,156.0,22000.0K,500.0,Paid,3.49,Everyone,Medical,March 14 2018,1.10.0.user.pro.release,4.4 and up
74,Blood Pressure Companion,MEDICAL,4.2,178.0,4800.0K,1000.0,Paid,0.99,Everyone,Medical,July 22 2018,4.1.5 (Steglitz),4.1 and up
75,Muscle Premium - Human Anatomy Kinesiology Bones,MEDICAL,4.2,168.0,25000.0K,10000.0,Paid,24.99,Everyone,Medical,August 11 2017,7.1.17,4.4 and up
76,CCHT PREP,MEDICAL,3.6,25.0,266k,1000.0,Paid,10.99,Everyone,Medical,December 8 2016,1.2,2.1 and up
77,Paramedic Meds,MEDICAL,4.5,163.0,375k,10000.0,Paid,1.99,Everyone,Medical,August 3 2015,3.4.3,1.6 and up
78,OmniMedix Medical Calculator,MEDICAL,4.7,25.0,1200.0K,1000.0,Paid,4.99,Everyone,Medical,June 11 2016,3.1.6,3.0 and up
79,Lab Values  Medical Reference,MEDICAL,4.5,133.0,2800.0K,10000.0,Paid,2.99,Everyone,Medical,August 2 2014,3.0,2.3 and up
80,Recognise Foot,MEDICAL,4.2,9.0,95000.0K,1000.0,Paid,7.49,Everyone,Medical,September 14 2017,1.0.3,4.1 and up
81,Anti Mosquito simulation,MEDICAL,4.2,74.0,2600.0K,1000.0,Paid,1.50,Everyone,Medical,September 6 2014,1.0,2.3.3 and up
82,Pain Tracker & Diary,MEDICAL,4.3,3.0,4600.0K,100.0,Paid,2.99,Everyone,Medical,January 2 2018,1.50,4.1 and up
83,Whist - Tinnitus Relief,MEDICAL,4.1,12.0,5100.0K,1000.0,Paid,1.99,Everyone,Medical,March 2 2017,1.2,4.1 and up
84,Critical Care Paramedic Review,MEDICAL,4.4,17.0,1800.0K,1000.0,Paid,9.99,Everyone 10,Medical,May 14 2018,2.0.5,4.4W and up
85,End Anxiety Pro - Stress Panic Attack Help,MEDICAL,4.2,33.0,53000.0K,1000.0,Paid,3.99,Everyone,Medical,May 8 2018,2.29,4.2 and up
86,Acupuncture Assistant,MEDICAL,4.5,492.0,39000.0K,10000.0,Paid,7.99,Everyone,Medical,April 13 2018,4.4.5,4.1 and up
87,InfantRisk Center HCP,MEDICAL,2.6,41.0,14000.0K,1000.0,Paid,9.99,Everyone,Medical,May 6 2015,1.3.4,2.3.3 and up
88,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625.0,8400.0K,10000.0,Paid,3.99,Everyone,Medical,January 8 2017,2.1,2.1 and up
89,Hospitalist Handbook,MEDICAL,4.8,12.0,18000.0K,1000.0,Paid,19.99,Everyone,Medical,June 5 2017,6.0.4,4.1 and up
90,PTA Content Master,MEDICAL,4.2,64.0,41000.0K,1000.0,Paid,29.99,Everyone,Medical,December 22 2015,2.1,2.2 and up
91,Navi Radiography Pro,MEDICAL,4.7,11.0,100000.0K,500.0,Paid,15.99,Everyone,Medical,January 14 2018,1.2.0,4.0.3 and up
92,Nursing Care Plan NANDA Tables,MEDICAL,3.0,4.0,3400.0K,500.0,Paid,0.99,Everyone,Medical,May 9 2017,1.0,2.3.3 and up
93,A Manual of Acupuncture,MEDICAL,3.5,214.0,68000.0K,1000.0,Paid,33.99,Everyone,Medical,October 2 2017,2.1.35,4.0 and up
94,palmPEDi: Pediatric Tape,MEDICAL,4.6,66.0,2600.0K,5000.0,Paid,0.99,Everyone,Medical,December 2 2013,4.1,3.2 and up
95,Vargo Anesthesia Mega App,MEDICAL,4.6,92.0,32000.0K,1000.0,Paid,79.99,Everyone,Medical,June 18 2018,19.0,4.0.3 and up
96,Monash Uni Low FODMAP Diet,MEDICAL,4.2,1135.0,12000.0K,100000.0,Paid,9.00,Everyone,Medical,July 16 2018,2.0.7,4.0 and up
97,Human Anatomy Atlas 2018: Complete 3D Human Body,MEDICAL,4.5,2921.0,25000.0K,100000.0,Paid,24.99,Everyone,Medical,May 25 2018,2018.5.47,5.0 and up
98,ASCCP Mobile,MEDICAL,4.5,63.0,25000.0K,10000.0,Paid,9.99,Everyone,Medical,October 3 2016,2.1.1,2.2 and up
99,Paramedic Protocol Provider,MEDICAL,4.5,171.0,20000.0K,10000.0,Paid,10.00,Everyone 10,Medical,September 21 2017,1.8.3,4.1 and up
100,2017 EMRA Antibiotic Guide,MEDICAL,4.4,12.0,3800.0K,1000.0,Paid,16.99,Everyone,Medical,January 27 2017,1.0.5,4.0.3 and up
101,Essential Anatomy 3,MEDICAL,4.1,1533.0,42000.0K,50000.0,Paid,11.99,Mature 17,Medical,August 7 2014,1.1.3,4.0.3 and up
102,EMT PASS,MEDICAL,3.4,51.0,2400.0K,1000.0,Paid,29.99,Everyone,Medical,October 22 2014,2.0.2,4.0 and up
103,Block Buddy,MEDICAL,4.0,15.0,5000.0K,1000.0,Paid,14.99,Everyone,Medical,August 1 2018,7.6.14,4.0 and up
104,EMT Review Plus,MEDICAL,4.5,199.0,1800.0K,10000.0,Paid,11.99,Everyone,Medical,June 27 2018,3.0.5,4.4W and up
105,Pedi STAT,MEDICAL,4.6,129.0,2900.0K,10000.0,Paid,5.49,Everyone,Medical,April 6 2018,3.0.1.0,4.1 and up
106,AnatomyMapp,MEDICAL,4.1,80.0,48000.0K,5000.0,Paid,14.99,Everyone,Medical,November 5 2013,1.0,3.0 and up
107,Diabetes & Diet Tracker,MEDICAL,4.6,395.0,19000.0K,1000.0,Paid,9.99,Everyone,Medical,July 16 2018,6.5.1,5.0 and up
108,A Manual of Acupuncture,MEDICAL,3.5,214.0,68000.0K,1000.0,Paid,33.99,Everyone,Medical,October 2 2017,2.1.35,4.0 and up
109,PTA Content Master,MEDICAL,4.2,64.0,41000.0K,1000.0,Paid,29.99,Everyone,Medical,December 22 2015,2.1,2.2 and up
110,Muscle Premium - Human Anatomy Kinesiology Bones,MEDICAL,4.2,168.0,25000.0K,10000.0,Paid,24.99,Everyone,Medical,August 11 2017,7.1.17,4.4 and up
111,Cardiac diagnosis (heart rate arrhythmia),MEDICAL,4.4,8.0,6500.0K,100.0,Paid,12.99,Everyone,Medical,July 25 2018,7.0,3.0 and up
112,LTC AS Legal,MEDICAL,4.0,6.0,1300.0K,100.0,Paid,39.99,Everyone,Medical,April 4 2018,3.0.1,4.1 and up
113,Medical ID - In Case of Emergency (ICE),MEDICAL,4.6,717.0,5400.0K,5000.0,Paid,5.99,Everyone,Medical,May 31 2018,6.5.0,5.0 and up
114,IBM Micromedex Drug Info,MEDICAL,3.8,206.0,9500.0K,10000.0,Paid,2.99,Everyone,Medical,April 25 2018,1.17.0,4.0 and up
115,Hospitalist Handbook,MEDICAL,4.8,12.0,18000.0K,1000.0,Paid,19.99,Everyone,Medical,June 5 2017,6.0.4,4.1 and up
116,Facetune - For Free,PHOTOGRAPHY,4.4,49553.0,48000.0K,1000000.0,Paid,5.99,Everyone,Photography,July 25 2018,1.3.1,4.1 and up
117,Lapse It • Time Lapse • Pro,PHOTOGRAPHY,4.3,12865.0,6900.0K,100000.0,Paid,2.99,Everyone,Photography,November 6 2014,4.70,2.2 and up
118,Facetune - For Free,PHOTOGRAPHY,4.4,49553.0,48000.0K,1000000.0,Paid,5.99,Everyone,Photography,July 25 2018,1.3.1,4.1 and up
119,Facetune - For Free,PHOTOGRAPHY,4.4,49553.0,48000.0K,1000000.0,Paid,5.99,Everyone,Photography,July 25 2018,1.3.1,4.1 and up
120,Golfshot Plus: Golf GPS,SPORTS,4.1,3387.0,25000.0K,50000.0,Paid,29.99,Everyone,Sports,July 11 2018,4.18.0,4.1 and up
121,Beautiful Widgets Pro,PERSONALIZATION,4.2,97890.0,14000.0K,1000000.0,Paid,2.49,Everyone,Personalization,August 24 2016,5.7.8,2.3 and up
122,HD Widgets,PERSONALIZATION,4.3,58617.0,26000.0K,1000000.0,Paid,0.99,Everyone,Personalization,December 7 2016,4.3.2,4.4 and up
123,Kairo XP (for HD Widgets),PERSONALIZATION,4.4,1591.0,779k,10000.0,Paid,0.99,Everyone,Personalization,January 7 2015,1.1,4.0.3 and up
124,BIG Launcher,PERSONALIZATION,4.3,881.0,5900.0K,10000.0,Paid,9.99,Everyone,Personalization,June 20 2018,2.5.9,2.1 and up
125,Weather Live Pro,WEATHER,4.8,17493.0,11000.0K,100000.0,Paid,4.49,Everyone,Weather,April 20 2018,1.3,4.4 and up
126,Smart Launcher theme b. gold,PERSONALIZATION,4.1,291.0,35000.0K,5000.0,Paid,1.99,Everyone,Personalization,October 22 2016,2.20,2.0 and up
127,EMT Tutor NREMT-B Study Guide,MEDICAL,4.6,625.0,8400.0K,10000.0,Paid,3.99,Everyone,Medical,January 8 2017,2.1,2.1 and up
128,Next Launcher 3D Theme Hit-B,PERSONALIZATION,4.4,83.0,8600.0K,1000.0,Paid,1.70,Everyone,Personalization,August 16 2015,1.05,2.2 and up
129,B-52 Spirits of Glory Deluxe,GAME,4.3,12.0,29000.0K,100.0,Paid,0.99,Everyone,Arcade,September 2 2017,1.5.9,2.3 and up
130,B-Grade Renegade,GAME,3.9,24.0,64000.0K,1000.0,Paid,1.99,Teen,Action,October 17 2017,0.8.17,3.2 and up
131,C Locker Pro,PERSONALIZATION,4.2,1531.0,7700.0K,10000.0,Paid,2.99,Everyone,Personalization,December 5 2017,8.3.4,4.1 and up
132,Neon Glow C - Icon Pack,PERSONALIZATION,4.8,557.0,74000.0K,10000.0,Paid,0.99,Everyone,Personalization,July 27 2018,4.5.0,4.0.3 and up
133,Hitman Sniper,GAME,4.6,408292.0,29000.0K,10000000.0,Paid,0.99,Mature 17,Action,July 12 2018,1.7.110758,4.1 and up
134,Koi Live Wallpaper,PERSONALIZATION,4.6,14026.0,12000.0K,100000.0,Paid,0.99,Everyone,Personalization,June 24 2014,1.9,2.2 and up
135,Mind Games Pro,FAMILY,4.6,15301.0,18000.0K,100000.0,Paid,2.99,Everyone,Puzzle;Brain Games,July 18 2018,3.0.5,2.3 and up
136,F-Stop Gallery Pro,PHOTOGRAPHY,4.4,1302.0,58k,10000.0,Paid,4.99,Everyone,Photography,August 5 2015,3.2,2.2 and up
137,Arto: f.infrared photo,PHOTOGRAPHY,4.1,41.0,11000.0K,500.0,Paid,1.49,Everyone,Photography,July 19 2016,3.1,4.4 and up
138,G Cloud Apps Backup Key * root,TOOLS,4.5,1034.0,196k,5000.0,Paid,4.99,Everyone,Tools,September 8 2013,1.1,2.2 and up
139,Next Launcher 3D Theme Hit-G,PERSONALIZATION,4.2,59.0,8100.0K,1000.0,Paid,1.70,Everyone,Personalization,August 16 2015,1.05,2.2 and up
140,G-Playlists,TOOLS,1.8,53.0,3400.0K,1000.0,Paid,1.49,Everyone,Tools,May 19 2018,1.91,4.0.3 and up
141,Ramfer - CNC Lathe G-code Tool,PRODUCTIVITY,3.4,5.0,11000.0K,100.0,Paid,2.99,Everyone,Productivity,September 26 2016,2.0,3.2 and up
142,G-Force Driving Assistant,SPORTS,4.6,10.0,6100.0K,100.0,Paid,3.88,Everyone,Sports,April 10 2013,1.0,2.3.3 and up
143,Go,PERSONALIZATION,4.6,89.0,11000.0K,5000.0,Paid,0.99,Everyone,Personalization,October 21 2017,1.6.1,4.0.3 and up
144,G-NetTrack Pro,TOOLS,4.3,255.0,1600.0K,5000.0,Paid,14.99,Everyone,Tools,July 25 2018,14.6,4.0 and up
145,G Theme 2 for LG V30 LG G6,PERSONALIZATION,4.3,25.0,15000.0K,500.0,Paid,1.49,Everyone,Personalization,December 13 2017,1.0.2,7.0 and up
146,A41 WatchFace for Android Wear Smart Watch,LIFESTYLE,4.5,231.0,5700.0K,5000.0,Paid,0.99,Everyone,Lifestyle,December 24 2017,7.0.1,4.3 and up
147,Dialer theme G Black Gold,PERSONALIZATION,4.2,33.0,857k,500.0,Paid,1.49,Everyone,Personalization,January 1 2016,2.0,4.0 and up
148,G-NetWiFi Pro,TOOLS,3.3,6.0,1500.0K,100.0,Paid,5.99,Everyone,Tools,June 18 2018,3.2,4.0 and up
149,H*nest Meditation,LIFESTYLE,4.9,145.0,48000.0K,5000.0,Paid,1.99,Mature 17,Lifestyle,April 7 2016,1.0,4.0.3 and up
150,Deaf - Hearing chat device H,COMMUNICATION,4.4,9.0,51k,500.0,Paid,3.99,Everyone,Communication,February 8 2017,3.6,2.2 and up
151,The World Ends With You,GAME,4.6,4108.0,13000.0K,10000.0,Paid,17.99,Everyone 10,Arcade,December 14 2015,1.0.4,4.0 and up
152,Cut the Rope GOLD,FAMILY,4.6,61264.0,43000.0K,1000000.0,Paid,0.99,Everyone,Puzzle,June 19 2018,3.7.0,4.1 and up
153,K.MOJI,FAMILY,4.8,16.0,8900.0K,500.0,Paid,1.99,Everyone,Entertainment,May 9 2017,1.0,4.2 and up
154,Math Games for Pre-K - Grade 4,FAMILY,4.6,28.0,23000.0K,1000.0,Paid,1.99,Everyone,Education;Education,January 13 2014,1.02,2.2 and up
155,Fuzzy Numbers: Pre-K Number Foundation,FAMILY,4.7,21.0,44000.0K,1000.0,Paid,5.99,Everyone,Education;Education,July 21 2017,1.3,4.1 and up
156,Anna.K Tarot,FAMILY,4.8,17.0,23000.0K,100.0,Paid,3.99,Mature 17,Entertainment,January 16 2017,1.4.4,4.0.3 and up
157,N Launcher Pro - Nougat 7.0,PERSONALIZATION,4.3,2538.0,6400.0K,100000.0,Paid,2.99,Everyone,Personalization,March 23 2018,1.5.1,4.1 and up
158,Traps n' Gemstones,GAME,4.5,413.0,9100.0K,1000.0,Paid,4.99,Everyone,Adventure,May 17 2017,1.04,4.0.3 and up
159,Guns'n'Glory Zombies Premium,FAMILY,4.1,313.0,34000.0K,5000.0,Paid,2.99,Everyone 10,Strategy,July 15 2016,1.1.5,2.3.3 and up
160,Guns'n'Glory Premium,FAMILY,4.4,3570.0,21000.0K,100000.0,Paid,2.99,Everyone 10,Strategy,September 22 2017,1.8.1,2.3.3 and up
161,Ghosts'n Goblins MOBILE,GAME,3.8,466.0,28000.0K,10000.0,Paid,0.99,Everyone,Arcade,March 28 2017,1.00.02,4.1 and up
162,Dark Infusion Substratum Theme for Android N & O,PERSONALIZATION,4.8,133.0,59000.0K,1000.0,Paid,2.49,Everyone,Personalization,August 3 2018,15.6,7.0 and up
163,Lock 'n' Roll Pro - Ad Free,GAME,4.6,169.0,13000.0K,1000.0,Paid,0.99,Everyone,Card,July 1 2015,4.0.5,2.3.3 and up
164,Age of Conquest: N. America,FAMILY,4.5,659.0,3300.0K,10000.0,Paid,3.99,Everyone,Strategy,August 4 2018,1.0.28,1.5 and up
165,Guns'n'Glory WW2 Premium,FAMILY,4.5,4656.0,20000.0K,100000.0,Paid,2.99,Everyone 10,Strategy,December 8 2017,1.4.11,4.0 and up
166,Jump'N'Shoot Attack,GAME,4.1,155.0,32000.0K,1000.0,Paid,2.49,Everyone,Arcade,May 26 2018,1.2,4.1 and up
167,Ghouls'n Ghosts MOBILE,GAME,3.9,168.0,49000.0K,5000.0,Paid,1.99,Everyone 10,Arcade,May 18 2017,1.00.00,4.1 and up
168,Oddworld: New 'n' Tasty,GAME,4.6,1475.0,34000.0K,10000.0,Paid,4.99,Teen,Action,January 2 2018,1.0.4,5.0 and up
169,Planet O - Icon Pack,PERSONALIZATION,4.6,354.0,24000.0K,10000.0,Paid,0.99,Everyone,Personalization,June 13 2018,1.6.1,4.1 and up
170,Stand O’Food® (Full),FAMILY,4.4,925.0,40000.0K,10000.0,Paid,1.99,Everyone,Casual,December 26 2014,1.5,2.3.3 and up
171,Detect-O-Gromit (D.O.G 2),FAMILY,3.8,45.0,47000.0K,10000.0,Paid,2.49,Everyone,Entertainment,July 16 2018,1.2,5.0 and up
172,O'Route Orienteering,SPORTS,4.2,6.0,1300.0K,100.0,Paid,3.02,Everyone,Sports,December 27 2017,2.0.5,3.0 and up
173,Prime Key for Nougat Launcher& O Launcher &KitKat,PERSONALIZATION,4.1,324.0,313k,5000.0,Paid,6.99,Everyone,Personalization,August 20 2017,5.1,5.1 and up
